字,聲母,介音,韻腹,韻尾,聲調,注
冥,m,,i,n,2,
冬,t,,u,ŋ,1,
馮,f,,u,ŋ,2,
冰,p,,ɛ,n,1,白
冰,p,,i,n,1,文
衝,tʰ,,u,ŋ,1,
決,tɕ,ɥ,o,t,7,
況,kʰ,w,o,ŋ,5,
冶,,j,a,,3,
冷,l,,a,ŋ,3,白
冷,l,,ɛ,n,3,文
凍,t,,u,ŋ,5,
淨,tɕʰ,j,a,ŋ,6,白
淨,tɕʰ,,i,n,6,文
悽,tɕʰ,,i,,1,
準,t,,u,n,3,
涼,t,j,o,ŋ,2,
凌,t,,i,n,2,
減,k,,a,n,3,
湊,tsʰ,,ɛ,u,5,
凜,t,,i,n,3,
凝,n,,i,n,2,
凝,ŋ,,ɛ,n,2,「傻」
几,tɕ,,i,,1,
几,tɕ,,i,,3,
凡,f,,a,n,2,
鳳,f,,u,ŋ,6,
憑,pʰ,,i,n,2,
凱,kʰ,,o,i,3,
凳,t,,ɛ,n,5,
凶,ɕ,j,u,ŋ,1,
出,tʰ,,u,t,7,
擊,tɕ,,i,ʔ,7,
函,h,,o,n,2,
鑿,tsʰ,,o,ʔ,8,
刀,t,,a,u,1,
刁,t,j,a,u,1,
刃,l,,i,n,6,
分,f,,u,n,1,
切,tɕʰ,j,ɛ,t,7,
刈,n,,i,,6,
芻,tsʰ,,u,,1,
刎,,,u,n,3,
刑,ɕ,,i,n,2,
列,t,j,ɛ,t,7,
劉,t,j,u,,2,
則,ts,,ɛ,ʔ,7,
剛,k,,o,ŋ,1,
創,tsʰ,,o,ŋ,5,
初,tsʰ,,u,,1,
刪,s,,a,n,1,
判,pʰ,,o,n,5,
利,t,,i,,6,
別,pʰ,j,ɛ,t,8,
刮,k,w,a,t,7,
到,t,,a,u,5,
制,t,,i,,5,
刷,s,w,o,t,7,
券,tɕ,ɥ,o,n,5,
剎,s,,a,t,7,
刺,tsʰ,,ɿ,,5,
刻,kʰ,,ɛ,ʔ,7,
劊,k,w,i,,5,
剃,tʰ,,i,,5,
削,ɕ,j,o,ʔ,7,
前,tɕʰ,j,ɛ,n,2,
剮,k,w,a,,3,
劍,tɕ,j,ɛ,n,5,
剔,tʰ,,i,ʔ,7,
剖,pʰ,,ɛ,u,3,
剝,p,,o,ʔ,7,
劇,tɕ,,i,ʔ,8,
剩,,,i,n,6,白
剩,ɕ,,i,n,6,文
剪,tɕ,j,ɛ,n,3,
副,f,,u,,5,
割,k,,o,t,7,
剳,t,,a,t,7,
剿,tɕ,j,a,u,3,
劈,pʰ,j,a,ʔ,7,白
劈,pʰ,,i,ʔ,7,文
力,t,,i,ʔ,7,
勸,tɕʰ,ɥ,o,n,5,
辦,pʰ,,a,n,6,
功,k,,u,ŋ,1,
加,k,,a,,1,
務,,,u,,6,
劣,t,ɥ,o,t,7,
動,tʰ,,u,ŋ,6,
助,tsʰ,,u,,6,
努,l,,u,,3,
劫,tɕ,j,ɛ,t,7,
勁,tɕ,,i,n,5,
勞,l,,a,u,2,
勢,ɕ,,i,,5,
勃,pʰ,,u,t,8,
勇,,j,u,ŋ,3,
勉,m,j,ɛ,n,3,
勳,ɕ,,y,n,1,
勒,l,,ɛ,ʔ,7,
勘,kʰ,,o,n,5,
募,m,,u,,6,
勤,tɕʰ,,i,n,2,
勺,t,,o,ʔ,7,
勿,f,,u,t,7,
勻,,,y,n,2,
包,p,,a,u,1,
北,p,,ɛ,ʔ,7,
匙,ɕ,,i,,1,
匠,ɕ,j,o,ŋ,6,
匡,tɕʰ,j,o,ŋ,1,
匣,h,,a,t,8,
匪,f,,i,,3,
匳,t,j,ɛ,n,2,
匹,pʰ,,i,t,7,
區,tɕʰ,,i,,1,
區,,,ɛ,u,1,
醫,,,i,,1,
匾,p,j,ɛ,n,3,
匿,l,,i,ʔ,7,
十,ɕ,,i,t,8,
千,tɕʰ,j,ɛ,n,1,
卅,s,,a,t,7,
升,ɕ,,i,n,1,
午,ŋ,,,,3,白
午,,,u,,3,文
卉,f,,i,,3,
半,p,,o,n,5,
華,f,,a,,2,
華,f,,a,,6,
協,ɕ,j,ɛ,t,8,
卑,p,,i,,1,
卒,ts,,u,t,7,
卓,ts,,o,ʔ,7,
單,t,,a,n,1,
單,s,,ɛ,n,6,
賣,m,,a,i,6,
南,l,,a,n,2,
博,p,,o,ʔ,7,
卜,p,,u,ʔ,7,
占,t,,ɛ,n,1,
占,t,,ɛ,n,5,
滷,l,,u,,3,
卦,k,w,a,,5,
臥,ŋ,w,o,,6,
衛,,w,i,,6,
卯,m,,a,u,3,
印,,,i,n,5,
危,,w,i,,2,
即,tɕ,,i,ʔ,7,
卻,tɕʰ,j,o,ʔ,7,
卵,l,,o,n,3,
卷,tɕ,ɥ,o,n,3,
卸,ɕ,j,a,,5,
卿,tɕʰ,,i,n,1,
廠,tʰ,,o,ŋ,3,
厄,,,ɛ,ʔ,7,
廳,tʰ,,i,n,1,
歷,t,,i,ʔ,7,
壓,ŋ,,a,t,7,
厭,,j,ɛ,n,5,
廁,tsʰ,,ɛ,ʔ,5,
厘,t,,i,,2,
厚,h,,ɛ,u,6,
原,n,ɥ,o,n,2,
廂,ɕ,j,o,ŋ,1,
厥,tɕ,ɥ,o,t,7,
廚,tʰ,,u,,2,
去,kʰ,,ɛ,,5,白
去,tɕʰ,,i,,5,文
縣,ɕ,ɥ,o,n,6,
參,tsʰ,,a,n,1,
參,s,,ɛ,n,1,
又,,j,u,,6,
叉,tsʰ,,a,,1,
及,tɕʰ,,i,t,8,
友,,j,u,,3,
雙,s,,o,ŋ,1,
反,f,,a,n,3,
發,f,,a,t,7,
叔,s,,u,ʔ,7,
取,tsʰ,,ɛ,,3,白
取,tɕʰ,,i,,3,文
受,ɕ,j,u,,6,
變,p,j,ɛ,n,5,
敍,ɕ,,i,,6,
叛,pʰ,,o,n,6,
叟,s,,a,u,3,
叟,s,,ɛ,u,3,
口,kʰ,,ɛ,u,3,
古,k,,u,,3,
句,tɕ,,i,,5,
