字,聲母,介音,韻腹,韻尾,聲調,注
混,f,,ə,n,6,
淹,,i,ɛ,m,1,
添,tʰ,i,ɛ,m,1,
清,tɕʰ,,i,n,1,
淵,,y,o,n,1,
漸,tɕʰ,i,ɛ,m,6,
漁,n,i,ɛ,,2,白
漁,n,,i,,2,
滲,s,,ɛ,m,5,
渠,tɕʰ,,i,,2,
渡,tʰ,,u,,6,
渣,ts,,a,,1,
溫,,u,ə,n,1,
港,k,,o,ŋ,3,
渴,kʰ,,o,t,7,
游,,i,u,,2,
渺,m,i,a,u,3,
湖,f,,u,,2,
灣,,u,a,n,1,
溼,ɕ,,i,p,7,
潰,f,,ə,i,6,
濺,tɕ,i,ɛ,n,5,
溉,kʰ,,o,i,5,
源,n,y,o,n,2,
溜,l,i,u,,6,白
溜,t,i,u,,2,
溪,tɕʰ,,i,,1,
溺,l,,i,ʔ,7,
滂,pʰ,,o,ŋ,1,
滋,ts,,ɿ,,1,
滑,,u,a,t,8,白
滑,f,,a,t,8,
滔,tʰ,,a,u,1,
滾,k,u,ə,n,3,
滯,tʰ,,i,,5,
滿,m,,o,n,3,
濾,t,,i,,5,
濫,l,,a,m,6,
灘,tʰ,,a,n,1,
滴,t,,i,ʔ,7,
滴,t,,i,ʔ,8,
漂,pʰ,i,a,u,3,
漂,pʰ,i,a,u,5,
漆,tɕʰ,,i,t,7,
漏,l,,ɛ,u,6,
演,,i,ɛ,n,3,
漫,m,,o,n,6,
漱,s,,ɛ,u,5,
潘,pʰ,,o,n,1,
潛,tɕʰ,i,ɛ,m,2,
潭,tʰ,,a,m,2,
潮,tʰ,,a,u,2,
潮,tʰ,,ɛ,u,2,
潺,tsʰ,,a,n,1,
澄,tʰ,,i,n,2,
澈,tʰ,,ɛ,t,8,
澡,ts,,a,u,3,
激,tɕ,,i,ʔ,7,
濯,tsʰ,,o,ʔ,8,
瀑,pʰ,,u,ʔ,8,
灌,k,u,o,n,5,
火,f,,o,,3,
滅,m,i,ɛ,t,7,
燈,t,,ɛ,n,1,
灰,f,,o,i,1,
灰,f,,ə,i,1,
靈,t,,i,n,2,
災,ts,,a,i,1,
燦,tsʰ,,a,n,5,
爐,l,,u,,2,
炊,tʰ,u,i,,1,
炎,,i,ɛ,m,2,
炒,tsʰ,,a,u,3,
炕,kʰ,,o,ŋ,5,
炖,t,u,ə,n,1,
炙,t,,a,ʔ,7,白
炙,t,,i,ʔ,7,
炭,tʰ,,a,n,5,
炮,pʰ,,a,u,5,
點,t,i,ɛ,m,3,
點,t,i,ɛ,n,3,
炼,t,y,o,n,6,
爛,l,,a,n,6,
烈,t,i,ɛ,t,7,
烘,f,,u,ŋ,1,
烙,l,,o,ʔ,7,
燭,t,,u,ʔ,7,
烟,,i,ɛ,n,1,
烤,kʰ,,a,u,5,
煩,f,,a,n,2,
燒,s,,a,u,1,
燒,s,,ɛ,u,1,
熱,n,i,ɛ,t,8,白
熱,l,,ɛ,t,7,白
烹,pʰ,,ɛ,n,1,
焉,,i,ɛ,n,1,
煥,f,,o,n,5,
焚,f,,ə,n,2,
焦,tɕ,i,a,u,1,
焰,,i,ɛ,m,6,
然,l,,ɛ,n,2,
煎,tɕ,i,ɛ,n,5,
照,t,,a,u,5,
照,t,,ɛ,u,5,
煨,,u,i,,1,
煮,t,,u,,3,
熄,ɕ,,i,ʔ,7,
熊,ɕ,i,u,ŋ,2,
熙,ɕ,,i,,1,
熟,s,,u,ʔ,8,
熬,ŋ,,a,u,2,
燎,t,i,a,u,2,
燕,,i,ɛ,n,1,
燕,,i,ɛ,n,5,
燠,,,a,u,5,
爆,p,,a,u,5,
爪,ts,,a,u,3,
爬,pʰ,,a,,2,
愛,,,o,i,5,
爵,tɕ,i,o,ʔ,7,
父,f,,u,,6,
爹,t,i,a,,1,
爽,s,,o,ŋ,3,
片,pʰ,i,ɛ,n,5,
版,p,,a,n,3,
牌,pʰ,,a,i,2,
牘,tʰ,,u,ʔ,8,
牙,ŋ,,a,,2,
牛,ŋ,,ɛ,u,2,白
牛,n,i,u,,2,
牝,pʰ,,i,n,3,
牡,m,,ɛ,u,3,
牢,l,,a,u,2,
牧,m,,u,ʔ,7,
物,,,u,t,7,
牲,s,,a,ŋ,1,白
牲,s,,ɛ,n,1,
牽,tɕʰ,i,ɛ,n,1,
特,tʰ,,ɛ,ʔ,8,
犧,ɕ,,i,,1,
犀,ɕ,,i,,1,
犁,t,,i,,2,
犒,kʰ,,a,u,5,
犬,tɕʰ,y,o,n,3,
犯,f,,a,n,6,
狀,tsʰ,,o,ŋ,6,
狂,kʰ,u,o,ŋ,2,
狄,tʰ,,i,ʔ,8,
狎,h,,a,p,8,
狐,f,,u,,2,
狗,k,,ɛ,u,3,
狡,k,,a,u,3,
獨,tʰ,,u,ʔ,8,
狹,h,,a,p,8,
獅,s,,ɿ,,1,
獄,n,i,u,ʔ,7,
狼,l,,o,ŋ,2,
獵,t,i,ɛ,p,8,
猛,m,,ɛ,n,3,
猜,tsʰ,,a,i,1,
猝,tsʰ,,u,t,7,
豬,t,,ɛ,,1,白
豬,t,,u,,1,
貓,m,i,a,u,2,
獻,ɕ,i,ɛ,n,5,
猴,h,,ɛ,u,2,
獺,tʰ,,a,p,7,
玄,ɕ,y,o,n,2,
率,s,,u,t,7,
率,t,,y,t,7,
玉,n,i,u,ʔ,7,
王,,u,o,ŋ,2,
玩,ŋ,,o,n,6,
玫,m,,i,,2,
玫,m,,o,i,2,
環,,u,a,n,2,白
環,f,,a,n,2,
現,ɕ,i,ɛ,n,6,
璽,ɕ,,i,,3,
玻,p,,o,,1,
珀,pʰ,,ɛ,ʔ,8,
珊,s,,a,n,1,
珍,t,,i,n,1,
珠,t,,u,,1,
班,p,,a,n,1,
球,tɕʰ,i,u,,2,
理,t,,i,,3,
瑣,s,,o,,3,
琛,ɕ,,i,m,1,
琢,ts,,o,ʔ,7,
琴,tɕʰ,,i,m,2,
琵,pʰ,,i,,2,
琶,pʰ,,a,,2,
瓊,tɕʰ,i,u,ŋ,2,
瑕,h,,a,,2,
瑞,s,u,i,,6,
瑟,s,,ɛ,ʔ,7,
瑰,k,u,i,,5,
璃,t,,i,,2,
璞,pʰ,,u,ʔ,8,
璧,p,,i,ʔ,7,
瓜,k,u,a,,1,
瓢,pʰ,i,a,u,2,
瓣,pʰ,,a,n,3,
瓤,l,,o,ŋ,2,
瓦,,u,a,,3,
瓮,,,u,ŋ,5,
瓶,pʰ,,i,n,2,
甘,k,,o,m,1,
甚,ɕ,,i,m,6,
甜,tʰ,i,ɛ,m,2,
生,s,,a,ŋ,1,白
生,s,,ɛ,n,1,
用,,i,u,ŋ,6,
甫,pʰ,,u,,3,
甫,f,,u,,3,
甬,,i,u,ŋ,3,
田,tʰ,i,ɛ,n,2,
由,,i,u,,2,
甲,k,,a,p,7,
申,ɕ,,i,n,1,
電,tʰ,i,ɛ,n,6,
男,l,,a,m,2,
暢,tʰ,,o,ŋ,5,
界,k,,a,i,5,
畏,,u,i,,5,
留,t,i,u,,2,
畜,tʰ,,u,ʔ,7,
畜,ɕ,i,u,ʔ,7,
略,t,i,o,ʔ,7,
番,f,,a,n,1,
疆,tɕ,i,o,ŋ,1,
疑,n,,i,,2,
疝,s,,a,n,5,
瘧,n,i,o,ʔ,7,
疫,,,y,t,7,
瘡,tsʰ,,o,ŋ,1,
疲,pʰ,,i,,2,
疵,tsʰ,,ɿ,,1,
疹,t,,i,n,3,
疼,tʰ,,u,ŋ,2,
疽,tɕ,,i,,1,
疾,tɕʰ,,i,t,8,
病,pʰ,i,a,ŋ,6,白
病,pʰ,,i,n,6,
痊,tɕʰ,y,o,n,1,
痒,,i,o,ŋ,3,
痔,tʰ,,i,,6,
痕,h,,ɛ,n,2,
痛,tʰ,,u,ŋ,5,
痢,t,,i,,6,
痰,tʰ,,a,m,2,
痲,m,,a,,2,
癡,tʰ,,i,,1,
瘦,s,,ɛ,u,5,
癩,l,,a,i,6,
癩,l,,a,t,7,
癲,t,i,ɛ,n,1,
登,t,,ɛ,n,1,
白,pʰ,,a,ʔ,8,白
白,pʰ,,ɛ,ʔ,8,
百,p,,a,ʔ,7,白
百,p,,ɛ,ʔ,7,
皂,tsʰ,,a,u,6,
的,t,,i,ʔ,7,
皆,k,,a,i,1,
皇,f,,o,ŋ,2,
皓,h,,a,u,6,
皖,f,,a,n,3,
皮,pʰ,,i,,2,
皺,ts,,ɛ,u,5,
皴,tɕ,,y,n,3,
皿,m,,ə,n,3,白
皿,m,,i,n,3,
盅,t,,u,ŋ,1,
盆,pʰ,,ə,n,2,
盈,,,i,n,2,
益,,,i,ʔ,7,
盍,h,,o,p,8,
盞,ts,,a,n,3,
鹽,,i,ɛ,m,2,
監,k,,a,m,1,
監,k,,a,m,5,
盒,h,,o,p,8,
盔,kʰ,u,i,,1,
盖,k,,o,i,5,
盜,tʰ,,a,u,6,
盤,pʰ,,o,n,2,
盛,ɕ,,i,n,6,
盟,m,,ə,n,2,白
盟,m,,i,n,2,
目,m,,u,ʔ,7,
盲,m,,o,ŋ,2,
直,tʰ,,i,ʔ,8,
相,ɕ,i,o,ŋ,1,
相,ɕ,i,o,ŋ,5,
盼,pʰ,,a,n,5,
盾,ɕ,,y,n,3,
省,s,,ɛ,n,3,白
省,s,,a,ŋ,3,白
省,ɕ,,i,n,3,
眉,m,,i,,2,
看,kʰ,,o,n,1,
看,kʰ,,o,n,5,
真,t,,i,n,1,
眠,m,i,ɛ,n,2,
眨,ts,,a,p,7,
眩,ɕ,y,o,n,2,
眷,tɕ,y,o,n,5,
眸,m,i,a,u,2,
眺,tʰ,i,a,u,5,
眼,ŋ,,a,n,3,
着,t,,o,ʔ,7,
着,tʰ,,o,ʔ,8,
睛,tɕ,i,a,ŋ,1,白
睛,tɕ,,i,n,1,
睡,s,u,i,,6,
督,t,,u,ʔ,7,
瞎,h,,a,t,7,
瞒,m,,o,n,2,
瞪,tsʰ,,ɛ,n,1,白
瞬,s,u,ə,n,3,
瞰,kʰ,,a,m,5,
瞳,tʰ,,u,ŋ,2,
瞻,t,,ɛ,m,1,
瞿,tɕʰ,,i,,2,
矛,m,,a,u,2,
矜,tɕ,,i,n,1,
矢,ɕ,,i,,3,
矣,,,i,,3,
知,t,,i,,1,
矩,tɕ,,i,,3,
矯,tɕ,i,a,u,3,
短,t,,o,n,3,
矮,,,a,i,3,
石,s,,a,ʔ,8,白
石,ɕ,,i,ʔ,8,
礦,kʰ,u,o,ŋ,5,
碼,m,,a,,3,
砌,tɕʰ,,i,,5,
砍,kʰ,,o,m,3,
研,ŋ,,ɛ,n,3,白
研,n,i,ɛ,n,3,
磚,t,,o,n,1,
硯,n,i,ɛ,n,6,
破,pʰ,,o,,5,
碩,ɕ,,i,ʔ,8,
硬,ŋ,,a,ŋ,6,白
硬,ŋ,,ɛ,n,6,
確,kʰ,,o,ʔ,7,
礙,ŋ,,o,i,6,
碎,s,u,o,i,5,白
碎,s,u,i,,5,
碑,p,,i,,1,
碗,,u,o,n,3,
碧,p,,i,ʔ,7,
鹼,k,,a,m,3,
磁,tsʰ,,ɿ,,2,
磕,kʰ,,o,p,7,
磨,m,,o,,2,
磨,m,,o,,6,
磬,tɕʰ,i,a,ŋ,5,白
磬,tɕʰ,,i,n,5,
磷,t,,i,n,2,
示,ɕ,,i,,6,
禮,t,,i,,3,
社,s,,a,,6,
祀,s,,ɿ,,6,
祈,tɕʰ,,i,,2,
祐,,i,u,,6,
祖,ts,,u,,3,
祝,t,,u,ʔ,7,
神,ɕ,,i,n,2,
祥,ɕ,i,o,ŋ,2,
票,pʰ,i,a,u,5,
祭,tɕ,,i,,5,
禎,t,,i,n,1,
禱,t,,a,u,3,
禍,f,,o,,6,
禀,p,,ə,n,3,白
禀,p,,i,n,3,
禁,tɕ,,i,m,5,
禄,l,,u,ʔ,7,
禪,s,,ɛ,n,2,
禪,s,,ɛ,n,6,
福,f,,u,ʔ,7,
禧,ɕ,,i,,1,
禹,,,i,,3,
离,t,,i,,2,
禽,tɕʰ,,i,m,2,
禾,,u,o,,2,
秀,ɕ,i,u,,5,
私,s,,ɿ,,1,
禿,tʰ,,u,t,8,
秉,p,,i,n,3,
秋,tɕʰ,i,u,,1,
種,t,,u,ŋ,3,
種,t,,u,ŋ,5,
科,kʰ,u,o,,1,
秒,m,i,a,u,3,
秘,p,,i,,5,
租,ts,,u,,1,
秤,tʰ,,i,n,5,
秦,tɕʰ,,i,n,2,
秧,,i,o,ŋ,1,
秩,tʰ,,i,t,8,
積,tɕ,,i,ʔ,7,
稱,tʰ,,i,n,1,
稱,tʰ,,i,n,5,
移,,,i,,2,
穢,,u,i,,5,
稀,ɕ,,i,,1,
程,tʰ,,a,ŋ,2,白
程,tʰ,,i,n,2,
稍,s,,a,u,3,
稅,s,u,i,,5,
稚,tʰ,,i,,6,
稠,tʰ,i,u,,2,
穩,,u,ə,n,3,
稷,tɕ,,i,ʔ,7,
稻,tʰ,,a,u,6,
稽,tɕ,,i,,1,
稿,k,,a,u,3,
穆,m,,u,ʔ,7,
穴,n,y,o,t,8,
究,tɕ,i,u,,5,
窮,tɕʰ,i,u,ŋ,2,
穹,tɕʰ,i,u,ŋ,2,
空,kʰ,,u,ŋ,1,
穿,tʰ,,o,n,1,
突,tʰ,,u,t,8,
窄,ts,,ɛ,ʔ,7,
竅,tɕʰ,i,a,u,5,
窒,t,,i,t,7,
窗,tsʰ,,o,ŋ,1,
窘,tɕ,,y,n,3,
竄,tsʰ,,o,n,5,
窩,,u,o,,1,
窟,kʰ,,u,t,7,
窠,,u,o,,1,
窺,kʰ,u,i,,1,
窿,t,i,u,ŋ,2,
立,t,,i,p,7,
豎,s,,u,,6,
站,ts,,a,n,5,
競,tɕʰ,,i,n,6,
竟,tɕ,,i,n,5,
章,t,,o,ŋ,1,
竣,tɕ,,y,n,5,
童,tʰ,,u,ŋ,2,
竭,tɕʰ,i,ɛ,t,8,
端,t,,o,n,1,
竹,t,,u,ʔ,7,
竿,k,,o,n,1,
篤,t,,u,ʔ,7,
笋,ɕ,,y,n,3,
笑,ɕ,i,a,u,5,
笔,p,,i,t,7,
笙,s,,a,ŋ,1,白
笙,s,,ɛ,n,1,
笛,t,i,a,ʔ,8,白
笛,t,,i,ʔ,8,
符,f,,u,,2,
笨,pʰ,,ə,n,6,白
笨,p,,ə,n,5,
笨,pʰ,,ə,n,5,
笨,p,u,ə,n,5,
笨,pʰ,u,ə,n,5,
第,tʰ,,i,,6,
箋,tɕ,i,ɛ,n,1,
籠,l,,u,ŋ,2,
等,t,,ɛ,n,3,
筋,tɕ,,i,n,1,
筏,f,,a,t,8,
筐,tɕʰ,i,o,ŋ,1,
筑,t,,u,ʔ,7,
筒,tʰ,,u,ŋ,2,
答,t,,a,p,7,
策,tsʰ,,ɛ,ʔ,7,
箏,t,,ɛ,n,1,白
箏,ts,,ɛ,n,1,
筵,,i,ɛ,n,2,
籌,tʰ,i,u,,2,
签,tɕʰ,i,ɛ,m,1,
簡,k,,a,n,3,
箍,k,,u,,1,
算,s,,o,n,5,
管,k,u,o,n,3,
簫,ɕ,i,a,u,1,
簫,ɕ,i,a,u,1,
箭,tɕ,i,ɛ,n,5,
箱,ɕ,i,o,ŋ,1,
箸,t,,u,,5,
篆,tʰ,,o,n,6,
篇,pʰ,i,ɛ,n,1,
篡,tsʰ,,o,n,5,
籃,l,,a,m,2,
篱,t,,i,,2,
篷,pʰ,,u,ŋ,2,
篾,m,i,ɛ,t,8,
簪,ts,,o,m,1,
簸,p,,o,,5,
籍,tɕʰ,,i,ʔ,8,
米,m,,i,,3,
类,t,,i,,6,
粉,f,,ə,n,3,
粒,t,,i,p,7,
粒,t,,i,ʔ,7,
粗,tsʰ,,u,,1,
粘,n,i,ɛ,m,2,白
粘,t,,ɛ,m,1,
粟,ɕ,i,u,ʔ,7,
粤,,y,o,t,7,
粥,t,,u,ʔ,7,
糞,f,,ə,n,5,
糧,t,i,o,ŋ,2,
糉,ts,,u,ŋ,5,
精,tɕ,i,a,ŋ,1,白
精,tɕ,,i,n,1,
糖,tʰ,,o,ŋ,2,
糜,m,,i,,2,
糠,kʰ,,o,ŋ,1,
系,tɕ,,i,,5,白
系,ɕ,,i,,6,
素,s,,u,,5,
索,s,,o,ʔ,7,
緊,tɕ,,i,n,3,
紫,ts,,ɿ,,3,
累,l,u,i,,6,
絮,s,,ɛ,,5,白
絮,ɕ,i,ɛ,,5,白
繁,f,,a,n,2,
纂,ts,,o,n,3,
糾,tɕ,i,u,,1,
紅,f,,u,ŋ,2,
紂,tʰ,i,u,,6,
纤,ɕ,i,ɛ,m,1,
約,,i,o,ʔ,7,
級,tɕ,,i,p,7,
紈,,y,o,n,2,
紀,tɕ,,i,,3,
緯,,u,i,,6,
純,s,u,ə,n,2,
紗,s,,a,,1,
綱,k,,o,ŋ,1,
納,l,,a,p,7,
縱,tɕ,i,u,ŋ,1,
縱,tɕ,i,u,ŋ,5,
紙,t,,i,,3,
紋,,u,ə,n,2,
紡,f,,o,ŋ,3,
紐,n,i,u,,3,
線,ɕ,i,ɛ,n,5,
練,t,y,o,n,6,
組,ts,,u,,3,
細,ɕ,,i,,5,
織,t,,i,ʔ,7,
終,t,,u,ŋ,1,
縐,ts,,ɛ,u,5,
絆,pʰ,,o,n,6,
絀,t,u,o,t,7,
紹,s,,a,u,3,
紹,s,,ɛ,u,3,
經,tɕ,i,a,ŋ,1,白
經,tɕ,,i,n,1,
絨,l,,u,ŋ,2,
結,tɕ,i,ɛ,t,7,
絝,kʰ,,u,,5,
繞,l,,ɛ,u,3,
給,tɕ,,i,p,7,
絕,tɕʰ,y,o,t,8,
絞,k,,a,u,3,
統,tʰ,,u,ŋ,3,
絹,tɕ,y,o,n,5,
繡,ɕ,i,u,,5,
綏,s,u,i,,1,
繼,tɕ,,i,,5,
績,tɕ,,i,ʔ,7,
緒,ɕ,,i,,6,
續,ɕ,i,u,ʔ,8,
綽,tʰ,,o,ʔ,7,
繩,ɕ,,i,n,2,
維,,u,i,,2,
綢,tʰ,i,u,,2,
綠,t,i,u,ʔ,7,
綴,t,u,i,,5,
綴,t,,ɛ,p,7,
緬,m,i,ɛ,n,3,
纜,l,,a,m,3,
緝,tɕʰ,,i,p,8,
緞,h,,o,n,6,白
緞,tʰ,,o,n,6,
緩,f,,o,n,6,
縷,t,,i,,3,
編,p,i,ɛ,n,1,
緣,,y,o,n,2,
縛,f,,o,ʔ,8,
縫,f,,u,ŋ,6,白
縫,f,,u,ŋ,2,
纏,tʰ,,ɛ,n,2,
縊,,,i,,5,
纓,,,i,n,1,
縮,s,,o,ʔ,7,
繆,m,i,u,,6,
繳,tɕ,i,a,u,3,
缸,k,,o,ŋ,1,
缺,tɕʰ,y,o,t,7,
罄,tɕʰ,,i,n,5,
网,m,,o,ŋ,3,白
网,,u,o,ŋ,3,
罕,h,,o,n,3,
羅,l,,o,,2,
罰,f,,a,t,8,
罷,pʰ,,a,,6,
罩,ts,,a,u,5,
罪,tsʰ,u,o,i,6,
罪,tsʰ,u,i,,6,
置,t,,i,,5,
署,s,,u,,6,
羈,tɕ,,i,,1,
羊,,i,o,ŋ,2,
羌,tɕʰ,i,o,ŋ,1,
美,m,,i,,3,
羔,k,,a,u,1,
羞,ɕ,i,u,,1,
羡,ɕ,y,o,n,6,
羣,tɕʰ,,y,n,2,
羹,k,,a,ŋ,1,白
羹,k,,ɛ,n,1,
羽,,,i,,3,
翁,,,u,ŋ,1,
翅,tʰ,,i,,5,
翕,ɕ,,i,p,7,
翠,tɕʰ,,i,,5,
翰,h,,o,n,6,
翻,f,,a,n,1,
翼,,,i,,ʔ,白
翼,,,i,ʔ,7,
耀,,i,a,u,6,
老,l,,a,u,3,
考,kʰ,,a,u,3,
者,t,,a,,3,
耆,tɕʰ,,i,,2,
而,,,ɛ,,2,
耐,l,,a,i,6,
耕,k,,a,ŋ,1,白
耕,k,,ɛ,n,1,
耗,h,,a,u,1,
耨,l,,ɛ,u,6,
耳,,,ɛ,,3,
耶,,i,a,,2,
恥,tʰ,,i,,3,
耽,t,,a,m,1,
耿,k,,ɛ,n,3,
聶,n,i,ɛ,p,8,
聃,t,,a,m,1,
聊,t,i,a,u,2,
聾,l,,u,ŋ,2,
職,t,,i,ʔ,7,
聯,t,y,o,n,2,
聘,pʰ,,i,n,5,
聚,tɕʰ,,i,,6,
聰,tsʰ,,u,ŋ,1,
肅,ɕ,i,u,ʔ,7,
肄,,,i,,6,
肆,s,,ɿ,,5,
肇,tʰ,,ɛ,u,6,
肉,n,i,u,ʔ,8,白
肉,l,,u,ʔ,7,
肋,l,,ɛ,ʔ,7,
肌,tɕ,,i,,1,
肘,t,i,u,,3,
肚,t,,u,,3,
肛,k,,o,ŋ,1,
腸,tʰ,,o,ŋ,2,
股,k,,u,,3,
肢,t,,i,,1,
肤,f,,u,,1,
肥,f,,ə,i,2,
肩,tɕ,i,ɛ,n,1,
肪,f,,o,ŋ,2,
骯,,,o,ŋ,1,
肯,kʰ,,ɛ,n,3,
肱,k,u,ɛ,n,1,
育,,i,u,ʔ,7,
肴,h,,a,u,2,
肺,f,,ə,i,5,
腎,ɕ,,i,n,6,
腫,t,,u,ŋ,3,
脅,ɕ,i,ɛ,p,8,
胃,,u,i,,6,
胄,tʰ,i,u,,6,
膽,t,,a,m,3,
背,p,,a,i,5,白
背,p,,i,,5,
背,p,,o,i,5,
胎,tʰ,,a,i,1,
胖,pʰ,,o,ŋ,5,
胚,pʰ,,i,,1,
胚,pʰ,,o,i,1,
勝,ɕ,,i,n,1,
勝,ɕ,,i,n,5,
胞,p,,a,u,1,
胡,f,,u,,2,
胥,s,,ɛ,,1,白
胥,ɕ,,i,,1,
胰,,,i,,2,
胳,k,,o,ʔ,7,
膠,k,,a,u,1,
胸,ɕ,i,u,ŋ,1,
能,l,,ɛ,n,2,
脂,t,,i,,1,
脆,tsʰ,u,i,,5,
脉,m,,ɛ,ʔ,7,
脊,tɕ,,i,ʔ,7,
脏,ts,,o,ŋ,1,
臍,tsʰ,,ɿ,,2,白
臍,tɕ,,i,,1,
腦,l,,a,u,3,
膿,l,,u,ŋ,2,
脚,tɕ,i,o,ʔ,7,
脫,tʰ,u,o,t,7,
脾,pʰ,,i,,2,
臘,l,,a,p,8,
腌,,i,ɛ,m,1,
腐,f,,u,,3,
腕,,u,o,n,3,
腥,ɕ,,i,n,1,
腮,s,,a,i,1,
腰,,i,a,u,1,
腱,tɕ,i,ɛ,n,5,
腹,f,,u,ʔ,8,
騰,tʰ,,ɛ,n,2,
腿,tʰ,u,o,i,3,白
腿,tʰ,u,i,,3,
膏,k,,a,u,1,
膜,m,,o,ʔ,7,
膝,s,,ɛ,t,7,白
膝,ɕ,,i,t,7,
膨,pʰ,,a,ŋ,2,白
膻,s,,ɛ,n,1,
臂,p,,i,,5,
臊,s,,a,u,1,
臣,ɕ,,i,n,2,
臧,ts,,o,ŋ,1,
自,tsʰ,,ɿ,,6,
臬,n,i,ɛ,t,7,
臭,tʰ,i,u,,5,
至,t,,i,,5,
致,t,,i,,5,
臻,ts,,ɛ,n,1,
臼,tɕʰ,i,u,,3,
臾,,,i,,2,
舀,,i,a,u,3,
舂,tʰ,,u,ŋ,1,
舅,tɕʰ,i,u,,6,
舌,s,,ɛ,t,8,
舍,s,,a,,3,
舍,s,,a,,5,
舒,s,,u,,1,
舛,tʰ,,o,n,3,
舜,s,u,ə,n,5,
舞,,,u,,3,
舟,t,i,u,,1,
艦,l,,a,m,6,
船,s,,o,n,2,
艇,tʰ,,i,n,3,
艮,k,,ɛ,n,5,
良,t,i,o,ŋ,2,
艱,k,,a,n,1,
色,s,,ɛ,ʔ,7,
艳,,i,ɛ,m,6,
藝,n,,i,,6,
艾,ŋ,,a,i,6,
節,tɕ,i,ɛ,t,7,
芋,,,i,,6,
芍,s,,o,ʔ,8,
芒,m,,o,ŋ,2,
芝,t,,i,,1,
芥,k,,a,i,5,
芬,f,,ə,n,1,
芭,p,,a,,1,
花,f,,a,,1,
花,f,,a,,6,
芳,f,,o,ŋ,1,
芹,tɕʰ,,i,n,2,
芽,ŋ,,a,,2,
葦,,u,i,,3,
蒼,tsʰ,,o,ŋ,1,
苏,s,,u,,1,
苔,tʰ,,a,i,2,
苗,m,i,a,u,2,
苟,k,,ɛ,u,3,
苦,kʰ,,u,,3,
英,,,i,n,1,
茂,m,,ɛ,u,6,
范,f,,a,n,6,
茄,tɕʰ,y,o,,1,
茅,m,,a,u,2,
塋,,i,u,ŋ,2,
繭,tɕ,i,ɛ,n,3,
茫,m,,o,ŋ,2,
茶,tsʰ,,a,,2,
茸,l,,u,ŋ,2,
荀,ɕ,,y,n,6,
荆,tɕ,,i,n,1,
草,tsʰ,,a,u,3,
薦,tɕ,i,ɛ,n,5,
荒,f,,o,ŋ,1,
荔,t,,i,,6,
薺,tɕʰ,,i,,6,
蕩,tʰ,,o,ŋ,6,
榮,,i,u,ŋ,2,
葷,f,,ə,n,1,
荫,,,i,m,5,
藥,,i,o,ʔ,8,
荷,h,,o,,2,
荷,h,,o,,6,
莠,,i,u,,3,
莫,m,,o,ʔ,7,
蓮,t,i,ɛ,n,2,
鶯,,,i,n,1,
蓴,s,u,ə,n,2,
莽,m,,o,ŋ,3,
菊,tɕ,i,u,ʔ,7,
菓,k,u,o,,3,
菜,tsʰ,,a,i,5,
菩,pʰ,,u,,2,
菱,t,,i,n,2,
菲,f,,ə,i,1,
菲,f,,ə,i,3,
萄,tʰ,,a,u,2,
萌,m,,ɛ,n,2,
螢,,i,a,ŋ,2,白
螢,,i,u,ŋ,2,
營,,i,u,ŋ,2,
蕭,ɕ,i,a,u,1,
蕭,ɕ,i,a,u,1,
薩,s,,a,t,7,
落,l,,o,ʔ,8,
著,t,,u,,5,
葚,ɕ,,i,m,6,
葛,k,,o,t,7,
董,t,,u,ŋ,3,
葬,ts,,o,ŋ,5,
葵,kʰ,u,i,,2,
蔣,tɕ,i,o,ŋ,3,
蒙,m,,u,ŋ,2,
蒜,s,,o,n,5,
蒯,kʰ,u,a,i,3,
蒲,pʰ,,u,,2,
蒸,t,,i,n,1,
蒿,h,,a,u,2,
蓄,ɕ,i,u,ʔ,7,
蓑,s,,o,,1,
藍,l,,a,m,2,
蓬,pʰ,,u,ŋ,2,
蔗,t,,a,,5,
蔡,tsʰ,,a,i,5,
蔬,s,,u,,1,
蔻,kʰ,,ɛ,u,5,
蔽,p,,i,,5,
蔽,pʰ,,i,,6,
蕈,tɕʰ,,i,m,6,
蕊,l,u,i,,3,
薄,pʰ,,u,,1,
薄,pʰ,,o,ʔ,8,
薇,,u,i,,2,
薛,ɕ,i,ɛ,t,7,
薨,f,,ɛ,n,1,
薰,ɕ,,y,n,1,
藏,tsʰ,,o,ŋ,2,
藏,tsʰ,,o,ŋ,6,
藐,m,i,a,u,3,
蘚,tɕʰ,i,ɛ,n,3,
藕,ŋ,,ɛ,u,3,
藤,tʰ,,ɛ,n,2,
藩,f,,a,n,2,
藿,f,,o,ʔ,7,
蘸,ts,,a,m,5,
虎,f,,u,,3,
虜,l,,u,,3,
虐,n,i,o,ʔ,7,
虑,t,,i,,5,
虔,tɕʰ,i,ɛ,n,2,
虛,ɕ,,i,,1,
虞,n,,i,,2,
虢,k,u,ɛ,ʔ,7,
蟲,tʰ,,u,ŋ,2,
蝨,s,,ɛ,t,7,
虹,k,,o,ŋ,5,白
虹,f,,u,ŋ,2,
雖,s,u,i,,1,
蠆,tsʰ,,a,i,5,
蝕,ɕ,,i,ʔ,8,
蟻,n,,i,,3,
蚊,m,,ə,n,2,白
蚊,,u,ə,n,2,
蚌,pʰ,,o,ŋ,6,
蠶,tsʰ,,o,m,2,
蚤,ts,,a,u,3,
蚶,h,,o,m,1,
蛆,tsʰ,,ɛ,,1,白
