字,聲母,介音,韻腹,韻尾,聲調,注
劈,pʰ,,i,ʔ,7,
力,t,,i,ʔ,7,
勸,tɕʰ,y,o,n,5,
辦,pʰ,,a,n,6,
功,k,,u,ŋ,1,
加,k,,a,,1,
務,,,u,,6,
劣,t,y,o,t,7,
動,tʰ,,u,ŋ,6,
助,tsʰ,,u,,6,
努,l,,u,,3,
劫,tɕ,i,ɛ,p,7,
勁,tɕ,,i,n,5,
勞,l,,a,u,2,
勢,ɕ,,i,,5,
勃,pʰ,,u,t,8,
勇,,i,u,ŋ,3,
勉,m,i,ɛ,n,3,
勳,ɕ,,y,n,1,
勒,l,,ɛ,ʔ,7,
勘,kʰ,,o,m,5,
募,m,,u,,6,
勤,tɕʰ,,i,n,2,
勺,t,,o,ʔ,7,
勿,f,,u,t,7,
勻,,,y,n,2,
包,p,,a,u,1,
北,p,,ɛ,ʔ,7,
匙,ɕ,,i,,1,
匠,ɕ,i,o,ŋ,6,
匡,tɕʰ,i,o,ŋ,1,
匣,h,,a,p,8,
匪,f,,ə,i,3,
匳,t,i,ɛ,m,2,
匹,pʰ,,i,t,7,
區,tɕʰ,,i,,1,
區,,,ɛ,u,1,
醫,,,i,,1,
匾,p,i,ɛ,n,3,
匿,l,,i,ʔ,7,
十,ɕ,,i,p,8,
千,tɕʰ,i,ɛ,n,1,
卅,s,,a,p,7,
升,ɕ,,i,n,1,
午,ŋ,,̍,,3,
卉,f,,ə,i,3,
半,p,,o,n,5,
華,f,,a,,2,
華,f,,a,,6,
協,ɕ,i,ɛ,p,8,
卑,p,,i,,1,
卒,ts,,u,t,7,
卓,ts,,o,ʔ,7,
單,t,,a,n,1,
單,s,,ɛ,n,6,
賣,m,,a,i,6,
南,l,,a,m,2,
博,p,,o,ʔ,7,
卜,p,,u,ʔ,7,
占,t,,ɛ,m,1,
占,t,,ɛ,m,5,
卤,l,,u,,3,
卦,k,u,a,,5,
臥,ŋ,u,o,,6,
衛,,u,i,,6,
卯,m,,a,u,3,
印,,,i,n,5,
危,,u,i,,2,
即,tɕ,,i,ʔ,7,
卻,tɕʰ,i,o,ʔ,7,
卵,l,,o,n,3,
卷,tɕ,y,o,n,3,
卸,ɕ,i,a,,5,
卿,tɕʰ,,i,n,1,
廠,tʰ,,o,ŋ,3,
厄,,,ɛ,ʔ,7,
廳,tʰ,,i,n,1,
历,t,,i,ʔ,7,
壓,,,a,p,7,
厭,,i,ɛ,m,5,
廁,tsʰ,,ɛ,ʔ,5,
厘,t,,i,,2,
厚,h,,ɛ,u,6,
原,n,y,o,n,2,
廂,ɕ,i,o,ŋ,1,
厥,tɕ,y,o,t,7,
廚,tʰ,,u,,2,
去,kʰ,,ɛ,,5,白
去,tɕʰ,i,ɛ,,5,白
去,tɕʰ,,i,,5,
縣,ɕ,y,o,n,6,
参,tsʰ,,a,m,1,
参,s,,ɛ,m,1,
又,,i,u,,6,
叉,tsʰ,,a,,1,
及,tɕʰ,,i,p,8,
友,,i,u,,3,
雙,s,,o,ŋ,1,
反,f,,a,n,3,
发,f,,a,t,7,
叔,s,,u,ʔ,7,
取,tsʰ,,ɛ,,3,白
取,tɕʰ,,i,,3,
受,ɕ,i,u,,6,
變,p,i,ɛ,n,5,
敍,ɕ,,i,,6,
叛,pʰ,,o,n,6,
叟,s,,a,u,3,
叟,s,,ɛ,u,3,
口,kʰ,,ɛ,u,3,
古,k,,u,,3,
句,tɕ,,i,,5,
叨,tʰ,,a,u,1,
叩,kʰ,,ɛ,u,5,
只,t,,a,ʔ,7,白
只,t,,i,,3,
叫,tɕ,i,a,u,5,
召,tʰ,,ɛ,u,6,
可,kʰ,,o,,3,
台,tʰ,,a,i,2,
史,s,,ɿ,,3,
右,,i,u,,6,
葉,,i,ɛ,p,8,
號,h,,a,u,6,
司,s,,ɿ,,1,
嘆,h,,a,n,5,白
嘆,tʰ,,a,n,5,
吃,tɕʰ,i,a,ʔ,7,白
吃,tɕʰ,,i,ʔ,7,
各,k,,o,ʔ,7,
合,h,,o,p,8,
吉,tɕ,,i,t,7,
吊,t,i,a,u,5,
同,tʰ,,u,ŋ,2,
名,m,i,a,ŋ,2,白
名,m,,i,n,2,
后,h,,ɛ,u,6,
吏,t,,i,,6,
吐,tʰ,,u,,5,
向,ɕ,i,o,ŋ,5,
嚇,h,,a,,5,
嚇,h,,ɛ,ʔ,7,
吕,t,,i,,3,
君,tɕ,,y,n,1,
吝,t,,i,n,6,
吞,h,,ɛ,n,1,白
吞,tʰ,,ɛ,n,1,
吟,n,,i,m,2,
吠,f,,ə,i,6,
否,f,,ɛ,u,3,
含,h,,o,m,2,
听,tʰ,i,a,ŋ,1,白
听,tʰ,,i,n,1,
听,tʰ,,i,n,5,
启,tɕʰ,,i,,3,
吴,ŋ,,u,,2,
吵,tsʰ,,a,u,3,
吸,ɕ,,i,p,7,
吹,tʰ,u,i,,1,
吻,,u,ə,n,3,
吼,h,,ɛ,u,3,白
吾,ŋ,,u,,2,
呆,ŋ,,o,i,2,
呈,tʰ,,i,n,2,
告,k,,a,u,5,
嘔,,,ɛ,u,3,
員,,y,o,n,2,
周,t,i,u,,1,
味,,u,i,,6,
呼,f,,u,,1,
命,m,i,a,ŋ,6,白
命,m,,i,n,6,
和,,u,o,,6,白
和,f,,o,,2,
和,f,,o,,6,
